functionname,protocol,device,subdevice,function
DUAL,NECx,7,7,0
KEY_CYCLEWINDOWS,NECx,7,7,1
KEY_POWER,NECx,7,7,2
KEY_1,NECx,7,7,4
KEY_2,NECx,7,7,5
KEY_3,NECx,7,7,6
KEY_VOLUMEUP,NECx,7,7,7
KEY_4,NECx,7,7,8
KEY_5,NECx,7,7,9
KEY_6,NECx,7,7,10
KEY_VOLUMEDOWN,NECx,7,7,11
KEY_7,NECx,7,7,12
KEY_8,NECx,7,7,13
KEY_9,NECx,7,7,14
KEY_MUTE,NECx,7,7,15
KEY_CHANNELDOWN,NECx,7,7,16
KEY_0,NECx,7,7,17
KEY_CHANNELUP,NECx,7,7,18
PRE-CH,NECx,7,7,19
KEY_GREEN,NECx,7,7,20
KEY_YELLOW,NECx,7,7,21
KEY_BLUE,NECx,7,7,22
KEY_MENU,NECx,7,7,26
KEY_INFO,NECx,7,7,31
PIP,NECx,7,7,32
KEY_102ND,NECx,7,7,35
KEY_SUBTITLE,NECx,7,7,37
P.MODE,NECx,7,7,40
S.MODE,NECx,7,7,43
TTX/MIX,NECx,7,7,44
KEY_EXIT,NECx,7,7,45
P.SIZE,NECx,7,7,62
STILL,NECx,7,7,66
TV/DTV,NECx,7,7,67
KEY_REWIND,NECx,7,7,69
KEY_STOP,NECx,7,7,70
KEY_PLAYPAUSE,NECx,7,7,71
KEY_FASTFORWARD,NECx,7,7,72
KEY_INFO,NECx,7,7,79
UO,NECx,7,7,96
KEY_DOWN,NECx,7,7,97
KEY_RIGHT,NECx,7,7,98
KEY_LEFT,NECx,7,7,101
KEY_ENTER,NECx,7,7,104
CH_MGR,NECx,7,7,107
KEY_RED,NECx,7,7,108
SRS,NECx,7,7,110
KEY_VCR,NECx,7,7,122
CABLE,NECx,7,7,123
KEY_TV,NECx,7,7,125
KEY_DVD,NECx,7,7,126
STB,NECx,7,7,127
WISELINK,NECx,7,7,140
D.MENU,NECx,7,7,142
