functionname,protocol,device,subdevice,function
0,RC5,20,-1,0
EDIT,RC5,20,-1,0
FTS,RC5,20,-1,0
1,RC5,20,-1,1
2,RC5,20,-1,2
3,RC5,20,-1,3
4,RC5,20,-1,4
5,RC5,20,-1,5
6,RC5,20,-1,6
7,RC5,20,-1,7
8,RC5,20,-1,8
9,RC5,20,-1,9
DISPLAYMODE,RC5,20,-1,11
AGAIN,RC5,20,-1,15
VOLUME+,RC5,20,-1,16
VOLUME-,RC5,20,-1,17
RANDOM,RC5,20,-1,28
AGAIN,RC5,20,-1,29
NEXT,RC5,20,-1,32
PREVIOUS,RC5,20,-1,33
INDEX+,RC5,20,-1,34
INDEX-,RC5,20,-1,35
P.MODE,RC5,20,-1,36
MEMO,RC5,20,-1,41
AMS,RC5,20,-1,43
OPEN,RC5,20,-1,45
PAUSE,RC5,20,-1,48
CANCEL,RC5,20,-1,49
REWIND,RC5,20,-1,50
FASTFORWARD,RC5,20,-1,52
PLAY,RC5,20,-1,53
STOP/CM,RC5,20,-1,54
AMSTIME+,RC5,20,-1,54
AMSTIME-,RC5,20,-1,54
A-B,RC5,20,-1,59
