functionname,protocol,device,subdevice,function
KEY_VOLUMEDOWN,NEC,8,230,16
KEY_RIGHT,NEC,8,230,17
TOOL,NEC,8,230,18
KEY_NEXT,NEC,8,230,19
KEY_UP,NEC,8,230,20
KEY_OK,NEC,8,230,21
KEY_DOWN,NEC,8,230,22
KEY_PLAY,NEC,8,230,23
KEY_VOLUMEUP,NEC,8,230,24
KEY_MUTE,NEC,8,230,25
KEY_AUDIO,NEC,8,230,26
KEY_PREVIOUS,NEC,8,230,27
KEY_PAGEDOWN,NEC,8,230,28
KEY_LEFT,NEC,8,230,29
KEY_BACK,NEC,8,230,30
A-B,NEC,8,230,31
KEY_3,NEC,8,230,64
KEY_2,NEC,8,230,65
KEY_1,NEC,8,230,66
KEY_POWER,NEC,8,230,67
KEY_6,NEC,8,230,68
KEY_5,NEC,8,230,69
KEY_4,NEC,8,230,70
KEY_HOME,NEC,8,230,71
KEY_9,NEC,8,230,72
KEY_8,NEC,8,230,73
KEY_7,NEC,8,230,74
KEY_PAGEUP,NEC,8,230,75
INPUT,NEC,8,230,76
KEY_0,NEC,8,230,77
KEY_CLEAR,NEC,8,230,78
KEY_FORWARD,NEC,8,230,80
KEY_SLOW,NEC,8,230,81
KEY_OPTION,NEC,8,230,82
USB,NEC,8,230,83
KEY_STOP,NEC,8,230,84
KEY_PAUSE,NEC,8,230,85
SHUFFLE,NEC,8,230,86
KEY_AUDIO,NEC,8,230,87
KEY_BACK,NEC,8,230,88
KEY_NEXT,NEC,8,230,89
ROTATE,NEC,8,230,90
KEY_VIDEO,NEC,8,230,91
KEY_AGAIN,NEC,8,230,92
KEY_INFO,NEC,8,230,93
SERVER,NEC,8,230,94
KEY_IMAGES,NEC,8,230,95
