functionname,protocol,device,subdevice,function
KEY_STOP,JVC,3,-1,0
KEY_RECORD,JVC,3,-1,4
KEY_ENTER,JVC,3,-1,5
KEY_PAUSE,JVC,3,-1,11
AV_STATUS,JVC,3,-1,13
CC,JVC,3,-1,14
TV/VIDEO,JVC,3,-1,19
KEY_POWER,JVC,3,-1,23
KEY_CHANNELDOWN,JVC,3,-1,24
KEY_CHANNELUP,JVC,3,-1,25
KEY_MUTE,JVC,3,-1,28
KEY_VOLUMEUP,JVC,3,-1,30
KEY_VOLUMEDOWN,JVC,3,-1,31
KEY_0,JVC,3,-1,32
KEY_1,JVC,3,-1,33
KEY_2,JVC,3,-1,34
KEY_3,JVC,3,-1,35
KEY_4,JVC,3,-1,36
KEY_5,JVC,3,-1,37
KEY_6,JVC,3,-1,38
KEY_7,JVC,3,-1,39
KEY_8,JVC,3,-1,40
KEY_9,JVC,3,-1,41
KEY_AGAIN,JVC,3,-1,60
ARROW_RIGHT,JVC,3,-1,90
ARROW_LEFT,JVC,3,-1,91
X_KEY_0+,JVC,3,-1,119
KEY_MENU,JVC,3,-1,122
ARROW_DOWN,JVC,3,-1,123
ARROW_UP,JVC,3,-1,124
KEY_PLAY,JVC,3,-1,137
KEY_REWIND,JVC,3,-1,178
KEY_FASTFORWARD,JVC,3,-1,214
C1/C2,JVC,3,-1,218
