functionname,protocol,device,subdevice,function
KEY_STOP,Panasonic,144,0,0
pause_still,Panasonic,144,0,6
KEY_PLAY,Panasonic,144,0,10
rev.play,Panasonic,144,0,11
still_adv,Panasonic,144,0,12
KEY_SEARCH,Panasonic,144,0,15
KEY_1,Panasonic,144,0,16
KEY_2,Panasonic,144,0,17
KEY_3,Panasonic,144,0,18
KEY_4,Panasonic,144,0,19
KEY_5,Panasonic,144,0,20
KEY_6,Panasonic,144,0,21
KEY_7,Panasonic,144,0,22
KEY_8,Panasonic,144,0,23
KEY_9,Panasonic,144,0,24
KEY_0,Panasonic,144,0,25
KEY_AUDIO,Panasonic,144,0,51
+/--,Panasonic,144,0,59
vtr,Panasonic,144,0,61
time_search,Panasonic,144,0,68
mem_rep,Panasonic,144,0,83
reset,Panasonic,144,0,84
KEY_TIME,Panasonic,144,0,86
KEY_KPPLUS,Panasonic,144,0,142
KEY_KPMINUS,Panasonic,144,0,143
monitor,Panasonic,144,0,145
KEY_AGAIN,Panasonic,144,0,240
memory,Panasonic,144,0,241
KEY_SLEEP,Panasonic,144,0,242
KEY_REWIND,Panasonic,144,0,243
