functionname,protocol,device,subdevice,function
0,MCE,4,15,0
1,MCE,4,15,1
2,MCE,4,15,2
3,MCE,4,15,3
4,MCE,4,15,4
5,MCE,4,15,5
6,MCE,4,15,6
7,MCE,4,15,7
8,MCE,4,15,8
9,MCE,4,15,9
CLEAR,MCE,4,15,10
ENTER,MCE,4,15,11
POWER,MCE,4,15,12
W,MCE,4,15,13
MUTE,MCE,4,15,14
INFO,MCE,4,15,15
VOLUME+,MCE,4,15,16
VOLUME-,MCE,4,15,17
CHANNEL+,MCE,4,15,18
CHANNEL-,MCE,4,15,19
FORWARD,MCE,4,15,20
REWIND,MCE,4,15,21
PLAY,MCE,4,15,22
RECORD,MCE,4,15,23
PAUSE,MCE,4,15,24
STOP,MCE,4,15,25
NEXT,MCE,4,15,26
PREVIOUS,MCE,4,15,27
H,MCE,4,15,28
S,MCE,4,15,29
UP,MCE,4,15,30
DOWN,MCE,4,15,31
LEFT,MCE,4,15,32
RIGHT,MCE,4,15,33
OK,MCE,4,15,34
BACK,MCE,4,15,35
TV,MCE,4,15,36
VIDEO,MCE,4,15,37
TEXT,MCE,4,15,38
MENU,MCE,4,15,38
VCR,MCE,4,15,72
TEXT,MCE,4,15,90
RED,MCE,4,15,91
GREEN,MCE,4,15,92
YELLOW,MCE,4,15,93
BLUE,MCE,4,15,94
