functionname,protocol,device,subdevice,function
KEY_0,NEC,134,107,0
KEY_1,NEC,134,107,1
KEY_2,NEC,134,107,2
KEY_3,NEC,134,107,3
KEY_4,NEC,134,107,4
KEY_5,NEC,134,107,5
KEY_6,NEC,134,107,6
KEY_7,NEC,134,107,7
KEY_8,NEC,134,107,8
KEY_9,NEC,134,107,9
KEY_AGAIN,NEC,134,107,10
RIGHT_ARROW,NEC,134,107,12
KEY_F1,NEC,134,107,13
KEY_F2,NEC,134,107,14
KEY_MENU,NEC,134,107,15
MTS,NEC,134,107,16
KEY_CYCLEWINDOWS,NEC,134,107,17
KEY_POWER,NEC,134,107,18
KEY_TEXT,NEC,134,107,19
DOWN_ARROW,NEC,134,107,20
KEY_MUTE,NEC,134,107,21
UP_ARROW,NEC,134,107,22
KEY_ENTER,NEC,134,107,23
LEFT_ARROW,NEC,134,107,24
KEY_F4,NEC,134,107,25
KEY_CHANNELUP,NEC,134,107,26
KEY_VOLUMEUP,NEC,134,107,27
KEY_MODE,NEC,134,107,28
KEY_F3,NEC,134,107,29
KEY_CHANNELDOWN,NEC,134,107,30
KEY_VOLUMEDOWN,NEC,134,107,31
