functionname,protocol,device,subdevice,function
KEY_POWER,MCE,4,15,12
KEY_PROG1,MCE,4,15,13
KEY_MUTE,MCE,4,15,14
KEY_INFO,MCE,4,15,15
KEY_VOLUMEUP,MCE,4,15,16
KEY_VOLUMEDOWN,MCE,4,15,17
KEY_PAGEUP,MCE,4,15,18
KEY_PAGEDOWN,MCE,4,15,19
KEY_FASTFORWARD,MCE,4,15,20
KEY_REWIND,MCE,4,15,21
KEY_PLAY,MCE,4,15,22
KEY_RECORD,MCE,4,15,23
KEY_PAUSE,MCE,4,15,24
KEY_STOP,MCE,4,15,25
KEY_NEXT,MCE,4,15,26
KEY_PREVIOUS,MCE,4,15,27
KEY_UP,MCE,4,15,30
KEY_DOWN,MCE,4,15,31
KEY_LEFT,MCE,4,15,32
KEY_RIGHT,MCE,4,15,33
KEY_OK,MCE,4,15,34
KEY_BACK,MCE,4,15,35
KEY_DVD,MCE,4,15,36
KEY_VCR,MCE,4,15,37
KEY_LIST,MCE,4,15,38
KEY_LIST,MCE,4,15,38
KEY_TV,MCE,4,15,72
