functionname,protocol,device,subdevice,function
FASTFORWARD,NEC,133,118,0
PLAY,NEC,133,118,1
REWIND,NEC,133,118,2
START/STOP,NEC,133,118,3
PAUSE,NEC,133,118,4
SLOW,NEC,133,118,5
RECORD,NEC,133,118,7
KPPLUS,NEC,133,118,16
SELFTIMER,NEC,133,118,18
STOP,NEC,133,118,23
TV-SCREEN,NEC,133,118,27
ZOOM+,NEC,133,118,28
ZOOM-,NEC,133,118,29
UP,NEC,133,118,32
DOWN,NEC,133,118,33
SET,NEC,133,118,36
MENU,NEC,133,118,37
POWER,NEC,133,118,39
D.EFFECTS,NEC,133,118,40
CARD+,NEC,133,118,42
CARD-,NEC,133,118,43
SLIDE-SHOW,NEC,133,118,44
IMAGES,NEC,133,118,48
DATA-CODE,NEC,133,118,49
ZERO-SET/MEMORY,NEC,133,118,50
AUDIO-DUB,NEC,133,118,51
SEARCH/SELECT,NEC,133,118,52
FORWARD,NEC,133,118,53
BWD,NEC,133,118,54
AUDIO-MONITOR,NEC,133,118,57
ST-2,NEC,133,118,58
ST-1,NEC,133,118,59
KPMINUS,NEC,133,118,80
X2,NEC,133,118,85
AV-INSERT,NEC,133,118,91
