functionname,protocol,device,subdevice,function
KEY_CYCLEWINDOWS,NECx2,7,7,1
KEY_POWER,NECx2,7,7,2
KEY_1,NECx2,7,7,4
KEY_2,NECx2,7,7,5
KEY_3,NECx2,7,7,6
KEY_VOLUMEUP,NECx2,7,7,7
KEY_4,NECx2,7,7,8
KEY_5,NECx2,7,7,9
KEY_6,NECx2,7,7,10
KEY_VOLUMEDOWN,NECx2,7,7,11
KEY_7,NECx2,7,7,12
KEY_8,NECx2,7,7,13
KEY_9,NECx2,7,7,14
KEY_MUTE,NECx2,7,7,15
KEY_CHANNELDOWN,NECx2,7,7,16
KEY_0,NECx2,7,7,17
KEY_CHANNELUP,NECx2,7,7,18
KEY_GREEN,NECx2,7,7,20
KEY_YELLOW,NECx2,7,7,21
KEY_BLUE,NECx2,7,7,22
KEY_MENU,NECx2,7,7,26
KEY_TV,NECx2,7,7,27
KEY_INFO,NECx2,7,7,31
PMode,NECx2,7,7,40
TTXMIX,NECx2,7,7,44
KEY_EXIT,NECx2,7,7,45
PSize,NECx2,7,7,62
FastBackwards,NECx2,7,7,69
KEY_STOP,NECx2,7,7,70
KEY_PLAY,NECx2,7,7,71
KEY_FASTFORWARD,NECx2,7,7,72
KEY_RECORD,NECx2,7,7,73
KEY_PAUSE,NECx2,7,7,74
Tools,NECx2,7,7,75
KEY_ENTER,NECx2,7,7,88
KEY_UP,NECx2,7,7,96
KEY_DOWN,NECx2,7,7,97
KEY_RIGHT,NECx2,7,7,98
DMA,NECx2,7,7,99
KEY_LEFT,NECx2,7,7,101
ChList,NECx2,7,7,107
KEY_RED,NECx2,7,7,108
SRS,NECx2,7,7,110
HDMI,NECx2,7,7,139
EMode,NECx2,7,7,148
