functionname,protocol,device,subdevice,function
KEY_0,NEC,162,-1,0
KEY_1,NEC,162,-1,1
KEY_2,NEC,162,-1,2
KEY_3,NEC,162,-1,3
KEY_4,NEC,162,-1,4
KEY_5,NEC,162,-1,5
KEY_6,NEC,162,-1,6
KEY_7,NEC,162,-1,7
KEY_8,NEC,162,-1,8
KEY_9,NEC,162,-1,9
out+,NEC,162,-1,10
out-,NEC,162,-1,11
pgm,NEC,162,-1,13
for,NEC,162,-1,14
rev,NEC,162,-1,15
KEY_NEXT,NEC,162,-1,16
KEY_BACK,NEC,162,-1,17
KEY_STOP,NEC,162,-1,22
KEY_PLAY,NEC,162,-1,23
KEY_PAUSE,NEC,162,-1,24
KEY_POWER,NEC,162,-1,28
rnd,NEC,162,-1,74
>10,NEC,162,-1,86
hi-lite,NEC,162,-1,94
