functionname,protocol,device,subdevice,function
KEY_0,NEC,182,-1,0
KEY_1,NEC,182,-1,1
KEY_2,NEC,182,-1,2
KEY_3,NEC,182,-1,3
KEY_4,NEC,182,-1,4
KEY_5,NEC,182,-1,5
KEY_6,NEC,182,-1,6
KEY_7,NEC,182,-1,7
KEY_8,NEC,182,-1,8
KEY_9,NEC,182,-1,9
KEY_10CHANNELSUP,NEC,182,-1,10
KEY_STOP,NEC,182,-1,17
KEY_PLAYPAUSE,NEC,182,-1,19
KEY_REWIND,NEC,182,-1,20
KEY_FORWARD,NEC,182,-1,21
KEY_PREVIOUS,NEC,182,-1,22
KEY_NEXT,NEC,182,-1,23
KEY_TIME,NEC,182,-1,24
KEY_AGAIN,NEC,182,-1,25
KEY_CLEAR,NEC,182,-1,26
Check,NEC,182,-1,27
PMode,NEC,182,-1,31
KEY_DOWN,NEC,182,-1,72
KEY_UP,NEC,182,-1,73
KEY_EDIT,NEC,182,-1,74
Random,NEC,182,-1,79
