functionname,protocol,device,subdevice,function
FASTFORWARD,NEC,133,118,0
PLAY,NEC,133,118,1
REWIND,NEC,133,118,2
START_STOP,NEC,133,118,3
PAUSE,NEC,133,118,4
SLOW,NEC,133,118,5
NEXT,NEC,133,118,16
SELF_TIMER,NEC,133,118,18
STOP,NEC,133,118,23
TV_SCREEN,NEC,133,118,27
ZOOM+,NEC,133,118,28
ZOOM-,NEC,133,118,29
UP,NEC,133,118,32
DOWN,NEC,133,118,33
SET,NEC,133,118,36
MENU,NEC,133,118,37
POWER,NEC,133,118,39
D_EFFECTS,NEC,133,118,40
IMAGES,NEC,133,118,48
DATA_CODE,NEC,133,118,49
ZERO_SET_MEMORY,NEC,133,118,50
AUDIO_DUB,NEC,133,118,51
SEARCH_SELECT,NEC,133,118,52
SEARCH_SELECT_FORWARD,NEC,133,118,53
SEARCH_SELECT_REWIND,NEC,133,118,54
X_KEY_2_BIT_AUDIO_OUT,NEC,133,118,57
PREV_FRAME,NEC,133,118,80
FAST,NEC,133,118,85
