functionname,protocol,device,subdevice,function
KEY_TAB,NEC,0,-1,0
KEY_2,NEC,0,-1,1
KEY_CHANNELDOWN,NEC,0,-1,2
KEY_1,NEC,0,-1,3
KEY_RECORD,NEC,0,-1,4
KEY_CHANNELUP,NEC,0,-1,5
KEY_3,NEC,0,-1,6
KEY_4,NEC,0,-1,9
KEY_VOLUMEDOWN,NEC,0,-1,10
KEY_CANCEL,NEC,0,-1,12
KEY_7,NEC,0,-1,13
KEY_AGAIN,NEC,0,-1,14
KEY_TEXT,NEC,0,-1,15
KEY_MUTE,NEC,0,-1,16
KEY_RECORD,NEC,0,-1,17
KEY_FORWARD,NEC,0,-1,18
KEY_PLAY,NEC,0,-1,20
KEY_0,NEC,0,-1,21
KEY_POWER,NEC,0,-1,22
KEY_FAVORITES,NEC,0,-1,23
KEY_8,NEC,0,-1,25
KEY_STOP,NEC,0,-1,26
KEY_9,NEC,0,-1,27
KEY_EPG,NEC,0,-1,28
KEY_5,NEC,0,-1,29
KEY_VOLUMEUP,NEC,0,-1,30
KEY_6,NEC,0,-1,31
KEY_REWIND,NEC,0,-1,64
KEY_PREVIOUS,NEC,0,-1,72
TIMESHIFT,NEC,0,-1,76
KEY_F11,NEC,0,-1,77
CAPTURE,NEC,0,-1,84
