functionname,protocol,device,subdevice,function
KEY_0,NEC,128,123,0
KEY_1,NEC,128,123,1
KEY_2,NEC,128,123,2
KEY_3,NEC,128,123,3
KEY_4,NEC,128,123,4
KEY_5,NEC,128,123,5
KEY_6,NEC,128,123,6
KEY_7,NEC,128,123,7
KEY_8,NEC,128,123,8
KEY_9,NEC,128,123,9
KEY_CHANNELUP,NEC,128,123,10
KEY_CHANNELDOWN,NEC,128,123,11
KEY_AGAIN,NEC,128,123,17
tv/vcr,NEC,128,123,18
KEY_POWER,NEC,128,123,19
index,NEC,128,123,20
KEY_RECORD,NEC,128,123,21
KEY_PLAY,NEC,128,123,22
KEY_STOP,NEC,128,123,23
f.fwd,NEC,128,123,24
KEY_REWIND,NEC,128,123,25
pause/still,NEC,128,123,26
KEY_SLOW,NEC,128,123,31
preset,NEC,128,123,64
set+,NEC,128,123,65
set-,NEC,128,123,66
fine+,NEC,128,123,67
fine-,NEC,128,123,68
KEY_ENTER,NEC,128,123,69
aft/vps,NEC,128,123,70
prog.cfm,NEC,128,123,72
KEY_CANCEL,NEC,128,123,74
memory,NEC,128,123,75
reset,NEC,128,123,76
KEY_EJECTCD,NEC,128,123,78
clock/counter,NEC,128,123,81
auto,NEC,128,123,82
