functionname,protocol,device,subdevice,function
TCP,Jerrold,-1,-1,0
KEY_CHANNELDOWN,Jerrold,-1,-1,1
A/B,Jerrold,-1,-1,3
KEY_F,Jerrold,-1,-1,4
KEY_CHANNELUP,Jerrold,-1,-1,5
KEY_CHANNELDOWN,Jerrold,-1,-1,6
KEY_POWER,Jerrold,-1,-1,7
Learn,Jerrold,-1,-1,8
KEY_0,Jerrold,-1,-1,9
KEY_5,Jerrold,-1,-1,11
PRGM,Jerrold,-1,-1,12
KEY_2,Jerrold,-1,-1,13
KEY_8,Jerrold,-1,-1,15
KEY_OK,Jerrold,-1,-1,16
FC,Jerrold,-1,-1,17
KEY_MUTE,Jerrold,-1,-1,18
KEY_6,Jerrold,-1,-1,19
KEY_DELETE,Jerrold,-1,-1,20
KEY_3,Jerrold,-1,-1,21
KEY_9,Jerrold,-1,-1,23
KEY_SELECT,Jerrold,-1,-1,24
PCPM,Jerrold,-1,-1,25
KEY_VOLUMEUP,Jerrold,-1,-1,26
KEY_4,Jerrold,-1,-1,27
KEY_VOLUMEDOWN,Jerrold,-1,-1,28
KEY_1,Jerrold,-1,-1,29
KEY_7,Jerrold,-1,-1,31
