functionname,protocol,device,subdevice,function
KEY_1,Sony12,1,-1,0
KEY_2,Sony12,1,-1,1
KEY_3,Sony12,1,-1,2
KEY_4,Sony12,1,-1,3
KEY_5,Sony12,1,-1,4
KEY_6,Sony12,1,-1,5
KEY_7,Sony12,1,-1,6
KEY_8,Sony12,1,-1,7
KEY_9,Sony12,1,-1,8
KEY_0,Sony12,1,-1,9
KEY_ENTER,Sony12,1,-1,11
KEY_CHANNELUP,Sony12,1,-1,16
KEY_CHANNELDOWN,Sony12,1,-1,17
KEY_VOLUMEUP,Sony12,1,-1,18
KEY_VOLUMEDOWN,Sony12,1,-1,19
KEY_MUTE,Sony12,1,-1,20
KEY_POWER,Sony12,1,-1,21
RESET,Sony12,1,-1,22
MTS_SAP,Sony12,1,-1,23
TV_VIDEO,Sony12,1,-1,37
KEY_RIGHT,Sony12,1,-1,51
KEY_LEFT,Sony12,1,-1,52
KEY_SLEEP,Sony12,1,-1,54
DISPLAY,Sony12,1,-1,58
JUMP,Sony12,1,-1,59
KEY_MENU,Sony12,1,-1,96
CENTER,Sony12,1,-1,101
KEY_UP,Sony12,1,-1,116
KEY_DOWN,Sony12,1,-1,117
