functionname,protocol,device,subdevice,function
KEY_MENU,NEC,4,-1,0
kodak,NEC,4,-1,1
KEY_AGAIN,NEC,4,-1,2
KEY_CLEAR,NEC,4,-1,3
goto,NEC,4,-1,4
resume,NEC,4,-1,5
step,NEC,4,-1,6
KEY_PAUSE,NEC,4,-1,7
KEY_VOLUMEUP,NEC,4,-1,8
shuffle,NEC,4,-1,9
KEY_VOLUMEDOWN,NEC,4,-1,10
KEY_AUDIO,NEC,4,-1,11
KEY_POWER,NEC,4,-1,12
KEY_EJECTCD,NEC,4,-1,13
KEY_2,NEC,4,-1,14
KEY_3,NEC,4,-1,15
KEY_REWIND,NEC,4,-1,16
KEY_1,NEC,4,-1,17
KEY_5,NEC,4,-1,18
KEY_6,NEC,4,-1,19
KEY_FORWARD,NEC,4,-1,20
KEY_4,NEC,4,-1,21
KEY_8,NEC,4,-1,22
KEY_9,NEC,4,-1,23
KEY_PREVIOUS,NEC,4,-1,24
KEY_7,NEC,4,-1,25
KEY_0,NEC,4,-1,26
KEY_SETUP,NEC,4,-1,27
KEY_NEXT,NEC,4,-1,28
KEY_ENTER,NEC,4,-1,29
KEY_STOP,NEC,4,-1,31
KEY_TITLE,NEC,4,-1,65
KEY_SLOW,NEC,4,-1,74
pin,NEC,4,-1,76
KEY_MUTE,NEC,4,-1,77
display,NEC,4,-1,78
KEY_ANGLE,NEC,4,-1,80
KEY_SUBTITLE,NEC,4,-1,81
tvmode,NEC,4,-1,82
KEY_UP,NEC,4,-1,84
KEY_10CHANNELSUP,NEC,4,-1,85
program,NEC,4,-1,86
ab,NEC,4,-1,88
KEY_LEFT,NEC,4,-1,89
KEY_ZOOM,NEC,4,-1,90
KEY_RIGHT,NEC,4,-1,92
KEY_DOWN,NEC,4,-1,93
