functionname,protocol,device,subdevice,function
KEY_POWER,MCE,4,17,12
X_KEY_WINDOWS,MCE,4,17,13
KEY_MUTE,MCE,4,17,14
KEY_INFO,MCE,4,17,15
KEY_VOLUMEUP,MCE,4,17,16
KEY_VOLUMEDOWN,MCE,4,17,17
KEY_PAGEUP,MCE,4,17,18
KEY_PAGEDOWN,MCE,4,17,19
KEY_FASTFORWARD,MCE,4,17,20
KEY_REWIND,MCE,4,17,21
KEY_PLAYPAUSE,MCE,4,17,22
KEY_STOP,MCE,4,17,25
KEY_NEXTSONG,MCE,4,17,26
KEY_PREVIOUSSONG,MCE,4,17,27
KEY_UP,MCE,4,17,30
KEY_DOWN,MCE,4,17,31
KEY_LEFT,MCE,4,17,32
KEY_RIGHT,MCE,4,17,33
KEY_OK,MCE,4,17,34
KEY_ENTER,MCE,4,17,35
KEY_DVD,MCE,4,17,36
X_KEY_REPEAT,MCE,4,17,74
KEY_SWITCHVIDEOMODE,MCE,4,17,79
